old_url,new_url,redirect_type,rationale,backlink_priority,search_traffic_priority,qa_status
/about,/about,308,Retain URL; rewrite content,unknown,unknown,pending
/audit,/diagnostic,308,Not disposed in this pass; already 308s to /diagnostic via the legacy map in next.config.ts so nothing was left to dispose,unknown,unknown,passed
/contact,/contact,308,Retain URL; rewrite content,unknown,unknown,pending
/dashboard,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/[slug],,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts prefix rule,none,none,passed
/dashboard/admin,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/ads-manager,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/ads-manager/anomalies,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/ads-manager/forecast,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/ads-manager/optimization-log,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/ads-manager/overview,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/ads-manager/recommendations,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/agent-system,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/agent-system/chat,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/agent-system/signals,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/agent-system/workflows,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/intelligence,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/knowledge,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/dashboard/proposals,,410,Authenticated or internal route; not public; 410 Gone via src/proxy.ts,none,none,passed
/diagnostic,/diagnostic,308,Retain URL; rewrite to Search Intelligence Diagnostic,unknown,unknown,pending
/glossary/multi-engine-visibility-index,,410,Retired glossary entry; the /glossary parent redirects but matches exactly and never its children; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries,,410,Index of nine retired vertical pages; would serve links to Gone URLs; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/accounting-firms,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/consulting-firms,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/energy-operations,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/healthcare,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/healthcare-practices,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/law-firms,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/marketing-agencies,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/multi-location-services,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/industries/professional-services,,410,Off-thesis vertical positioning retired with the previous site; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights,/research,308,Hub disposed 2026-08-19; /research is the successor hub and is now built and published so the 308 this row previously recorded as blocked now ships; the section beneath the hub is unaffected and keeps its 410 from the /insights/ prefix rule in src/proxy.ts,unknown,unknown,passed
/insights/a2a-protocol-business-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/agent-collision-detection-preventing-duplicate-work,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/agent-orchestration-patterns-execution-models,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/agent-state-management-persistent-context-ai-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/agent-to-agent-communication-patterns-building-self-coordinating-ai-systems,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-agent-governance-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-agents-for-accounting-firms,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-agents-for-healthcare-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-agents-for-law-firms,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-agents-professional-services-operations,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-agents-vs-automation-difference,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-consulting-vs-ai-architecture,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/ai-experimentation-vs-transformation,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/architecture-precedes-automation,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/autonomous-ai-agent-architecture-for-enterprise,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/batch-vs-stream-processing-ai-agent-architectures,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
/insights/bigquery-ai-agent-memory-system,,410,Off-thesis autonomous agent archive; no Search Intelligence Engineering equivalent; 410 Gone via src/proxy.ts,unknown,unknown,passed
