route,page_name,title,meta_description,h1,primary_cta,indexable,schema,feature_flag
/,Homepage,Search Intelligence Engineering for the AI Era | Hendricks,"Hendricks maps valuable search demand, measures whether brands enter consideration across Google and AI search, engineers search-presence gaps, and connects the work to business impact.",Search Intelligence Engineering for the AI Era.,Start with a Search Intelligence Diagnostic,yes,Organization|WebSite|WebPage,
/solutions,Solutions,Search Intelligence Solutions: Demand Selection Engineering and Impact | Hendricks,"Explore Hendricks solutions for search demand intelligence, AI-mediated selection analysis, search presence engineering, and business-impact measurement.",Four solutions. One path from customer demand to business impact.,Start with a Search Intelligence Diagnostic,yes,WebPage|BreadcrumbList,
/solutions/search-demand-intelligence,Search Demand Intelligence,Search Demand Intelligence and Intent Mapping | Hendricks,"Map the customer needs, questions, comparisons, trends, and buying contexts that represent meaningful commercial demand across traditional and AI-mediated search.",Know which customer decisions are worth winning.,Map Your Search Demand,yes,Service|WebPage|BreadcrumbList,
/solutions/selection-intelligence,Selection Intelligence,Selection Intelligence for AI and Search Visibility | Hendricks,"Measure when your brand is absent, referenced, considered, or recommended across AI-mediated and traditional search—and understand the evidence associated with competitor wins.",Know when your brand enters the shortlist—and when it disappears.,Establish Your Selection Baseline,yes,Service|WebPage|BreadcrumbList,
/solutions/search-presence-engineering,Search Presence Engineering,Search Presence Engineering for Google and AI Search | Hendricks,"Improve the technical, entity, content, evidence, authority, acquisition, and conversion conditions that make your brand easier to discover, understand, trust, and recommend.",Build the conditions that make your brand easier to discover understand trust and recommend.,Discuss a 90-Day Demand-to-Selection Program,yes,Service|WebPage|BreadcrumbList,
/solutions/search-impact-measurement,Search Impact Measurement,AI Search SEO and Revenue Impact Measurement | Hendricks,"Connect search and AI visibility with branded demand, referrals, customer behavior, CRM opportunities, pipeline, revenue, and controlled evidence.",Prove what changed—and how much confidence the business should place in it.,Build Your Search Impact Baseline,yes,Service|WebPage|BreadcrumbList,
/diagnostic,Search Intelligence Diagnostic,Search Intelligence Diagnostic: Find Your Commercial Selection Gap | Hendricks,"A fixed-scope engagement that maps valuable search demand, measures brand consideration across Google and AI-mediated search, identifies selection gaps, and produces a 90-day roadmap.",Find Your Commercial Selection Gap.,Apply for a Diagnostic,yes,Service|WebPage|BreadcrumbList,
/how-it-works,How It Works,The Hendricks Demand-to-Selection System | How It Works,"See how Hendricks maps demand, measures AI and search consideration, implements priority improvements, and connects the work to commercial outcomes.",From customer need to measurable business impact.,Start with a Search Intelligence Diagnostic,yes,WebPage|BreadcrumbList,
/for-brands,For Brands,Search Intelligence Engineering for Brands and Companies | Hendricks,"Connect search demand, AI visibility, paid and organic acquisition, brand evidence, analytics, CRM, and revenue into one Demand-to-Selection System.",Turn fragmented search investment into a system for winning consideration.,Start with a Diagnostic,yes,WebPage|BreadcrumbList,
/for-agencies,For Agencies,Search Intelligence Partner for Digital Marketing Agencies | Hendricks,"Add demand intelligence, AI-selection analysis, search presence engineering, measurement, data, and governed-agent capabilities without building the full practice in-house.",Add Search Intelligence to your agency without building the entire capability in-house.,Discuss an Agency Partnership,yes,WebPage|BreadcrumbList,
/results,Results,Search Intelligence Results and Case Studies | Hendricks,"Review evidence-backed Hendricks case studies across search demand, AI visibility, paid and organic acquisition, data engineering, and business-impact measurement.",Search systems should produce measurable decisions and outcomes.,Start with a Diagnostic,conditional,CollectionPage|BreadcrumbList,showResults
/research,Research,Search Intelligence Research and Methodology | Hendricks,"Research on search demand, AI visibility, Selection Intelligence, paid and organic acquisition, measurement, data engineering, and the changing customer decision journey.",Research for the AI Search Era.,Explore the Latest Research,yes,CollectionPage|BreadcrumbList,
/what-is-search-intelligence-engineering,Definition,What Is Search Intelligence Engineering? | Hendricks,"Search Intelligence Engineering connects customer demand, traditional and AI-mediated search visibility, brand evidence, implementation, analytics, and business outcomes.",What Is Search Intelligence Engineering?,Explore the Solutions,yes,WebPage|BreadcrumbList,
/what-is-selection-intelligence,Definition,What Is Selection Intelligence? | Hendricks,"Selection Intelligence measures whether, where, and under what customer contexts a brand enters consideration, earns recommendation, and influences choice across search.",What Is Selection Intelligence?,Explore Selection Intelligence,yes,WebPage|BreadcrumbList,
/ai-selection-problem,Manifesto,The AI Selection Problem: From Discovery to Customer Choice | Hendricks,"Brands are losing control over the path between being discovered and being chosen as AI systems interpret needs, compare options, and shape customer shortlists.",Brands are losing control over the path between being discovered and being chosen.,Start with a Search Intelligence Diagnostic,yes,WebPage|BreadcrumbList,
/methodology,Methodology,Search Intelligence Measurement Methodology | Hendricks,"Learn how Hendricks defines intent contexts, measures observed consideration, analyzes evidence, grades conclusions, and connects interventions to business outcomes.",Measure the decision—not just the prompt.,Start with a Search Intelligence Diagnostic,yes,WebPage|BreadcrumbList,
/about,About,Brandon Lincoln Hendricks Search Intelligence Engineer | Hendricks,"Meet Brandon Lincoln Hendricks, founder of Hendricks and a Search Intelligence Engineer working across demand, search, AI visibility, analytics, and business impact.",Built From Search. Engineered for What Comes Next.,Start with a Search Intelligence Diagnostic,yes,Person|AboutPage|BreadcrumbList,
/contact,Contact,Discuss a Search Intelligence System | Hendricks,"Tell Hendricks what your brand or agency needs to understand, improve, measure, or build across traditional and AI-mediated search.",What decision can your current search system not answer?,Send Inquiry,yes,ContactPage|BreadcrumbList,
